,club,value
325,Beijing Renhe FC,47056000.0
326,SV Zulte-Waregem,46702000.0
327,Vissel Kobe,46471000.0
328,SG Dynamo Dresden,46432000.0
329,SK Sturm Graz,46095000.0
330,Brescia,45655000.0
331,Gimnasia y Esgrima La Plata,45618000.0
332,1. FC Heidenheim 1846,45601000.0
333,US Salernitana 1919,45406000.0
334,Heracles Almelo,45321000.0
335,Deportes Tolima,45159000.0
336,Aberdeen,45097000.0
337,AIK,44999000.0
338,Willem II,44868000.0
339,Club Atlético Tigre,44584000.0
340,Racing Club de Lens,44357000.0
341,Crotone,43931000.0
342,Benevento,43843000.0
343,Al Shabab,43802000.0
344,San Jose Earthquakes,43679000.0
345,Le Havre AC,43636000.0
346,FC Sion,43490000.0
347,Tianjin TEDA FC,42610000.0
348,Bolton Wanderers,42366000.0
349,Sunderland,42020000.0
350,AD Alcorcón,41959000.0
351,Newell's Old Boys,41237000.0
352,Ceará Sporting Club,41207000.0
353,Jeonbuk Hyundai Motors,41103000.0
354,Belgrano de Córdoba,41042000.0
355,Urawa Red Diamonds,40653000.0
356,Hellas Verona,38764000.0
357,Lech Poznań,38453000.0
358,Kawasaki Frontale,38288000.0
359,New England Revolution,38023000.0
360,SC Paderborn 07,37631000.0
361,Heart of Midlothian,37357000.0
362,Kashiwa Reysol,37290000.0
363,Stade Brestois 29,37170000.0
364,ESTAC Troyes,36949000.0
365,SpVgg Greuther Fürth,36294000.0
366,PEC Zwolle,36290000.0
367,Argentinos Juniors,36185000.0
368,CF Reus Deportiu,35883000.0
369,Grasshopper Club Zürich,35860000.0
370,Molde FK,35799000.0
371,Gimnàstic de Tarragona,35398000.0
372,Albacete BP,35030000.0
373,AS Nancy Lorraine,34806000.0
374,KAS Eupen,34785000.0
375,FK Austria Wien,34747000.0
376,Fortuna Sittard,34470000.0
377,Ascoli,34264000.0
378,Jagiellonia Białystok,33932000.0
379,Spezia,33701000.0
380,Tiburones Rojos de Veracruz,33465000.0
381,Colorado Rapids,33458000.0
382,Suwon Samsung Bluewings,33435000.0
383,Sagan Tosu,33234000.0
384,Lobos BUAP,33071000.0
385,Independiente Medellín,33014000.0
386,Pescara,32990000.0
387,Al Taawoun,32919000.0
388,Perugia,32857000.0
389,Rionegro Águilas,32693000.0
390,Córdoba CF,32634000.0
391,IFK Norrköping,32406000.0
392, SSV Jahn Regensburg,32271000.0
393,Venezia FC,32202000.0
394,Charlton Athletic,31941000.0
395,Kilmarnock,31920000.0
396,Portsmouth,31887000.0
397,Cittadella,31797000.0
398,FC Erzgebirge Aue,31643000.0
399,Ettifaq FC,31319000.0
400,Al Qadisiyah,31274000.0
401,Melbourne Victory,31160000.0
402,Lechia Gdańsk,31142000.0
403,FC Zürich,31007000.0
404,UD Almería,30981000.0
405,1. FC Magdeburg,30938000.0
406,Barnsley,30212000.0
407,US Cremonese,29874000.0
408,Ulsan Hyundai FC,29819000.0
